"Freq [GHz]","dB(St(FloquetPort2:1,FloquetPort1:1)) []","dB(St(FloquetPort2:2,FloquetPort1:2)) []"
6.94438264738598,-0.505266756773143,-7.87364475444486
6.96218020022247,-0.508874745412122,-8.09875441969249
6.97997775305895,-0.512502156774839,-8.3343009699843
6.99777530589544,-0.516149171279043,-8.58102123184584
7.01557285873192,-0.519815987580045,-8.83972942670339
7.03337041156841,-0.523502823930288,-9.11132840765526
7.0511679644049,-0.527209919594787,-9.39682295231603
7.06896551724138,-0.53093753631449,-9.69733556514964
7.08676307007786,-0.534685959808644,-10.0141253586218
7.10456062291435,-0.538455501306471,-10.3486107308285
7.12235817575083,-0.542246499097137,-10.7023967469316
7.14015572858732,-0.5460593200873,-11.077308373287
7.1579532814238,-0.549894361353336,-11.4754310177739
7.17575083426029,-0.553752051675964,-11.8991602064892
7.19354838709677,-0.557632853043333,-12.3512626748319
7.21134593993326,-0.56153726210876,-12.8349516415448
7.22914349276974,-0.565465811588173,-13.3539794695244
7.24694104560623,-0.569419071582456,-13.912751033618
7.26473859844271,-0.57339765080904,-14.5164602618758
7.2825361512792,-0.577402197727091,-15.1712489333358
7.30033370411568,-0.581433401540418,-15.8843771951435
7.31813125695217,-0.585491993062237,-16.6643705371617
7.33592880978865,-0.589578745425795,-17.5210466487975
7.35372636262514,-0.593694474625315,-18.465174943202
7.37152391546162,-0.597840039871862,-19.5071517417642
7.38932146829811,-0.602016343749257,-20.6531753478041
7.40711902113459,-0.606224332155762,-21.895334371702
7.42491657397108,-0.610464994018125,-23.1881377301199
7.44271412680756,-0.614739360765157,-24.4022193922329
7.46051167964405,-0.619048505549596,-25.2740779615865
7.47830923248053,-0.623393542207772,-25.4742842376207
7.49610678531702,-0.627775623948123,-24.891277240762
7.5139043381535,-0.632195941761444,-23.762998546831
7.53170189098999,-0.636655722547056,-22.4162123433082
7.54949944382647,-0.641156226951078,-21.0575683333699
7.56729699666296,-0.645698746915465,-19.7756352600634
7.58509454949944,-0.650284602937816,-18.5967484004515
7.60289210233593,-0.654915141045349,-17.5214459531962
7.62068965517241,-0.659591729487975,-16.5412606561431
7.6384872080089,-0.664315755158796,-15.6455300586623
7.65628476084538,-0.669088619752811,-14.8239314380325
7.67408231368187,-0.673911735677223,-14.0672934866639
7.69187986651835,-0.678786521730638,-13.3677413602596
7.70967741935484,-0.683714398570587,-12.7186022060262
7.72747497219132,-0.688696783992401,-12.1142410150349
7.74527252502781,-0.693735088046157,-11.5498918702231
7.76307007786429,-0.698830708021021,-11.0215070968295
7.78086763070078,-0.703985023329915,-10.5256298264855
7.79866518353726,-0.709199390331269,-10.0592890618909
7.81646273637375,-0.714475137127311,-9.61991425094095
7.83426028921023,-0.719813558382088,-9.20526603540462
7.85205784204672,-0.725215910205621,-8.81338013196006
7.8698553948832,-0.730683405153801,-8.44252177820362
7.88765294771969,-0.736217207396796,-8.09114865387092
7.90545050055617,-0.741818428111752,-7.75788060563318
7.92324805339266,-0.747488121158234,-7.44147484845688
7.94104560622914,-0.753227279097877,-7.1408055922419
7.95884315906563,-0.75903682962204,-6.85484725977563
7.97664071190211,-0.764917632453204,-6.58266063214987
7.9944382647386,-0.770870476788602,-6.32338139068104
8.01223581757508,-0.776896079355342,-6.07621062829778
8.03003337041157,-0.782995083148624,-5.84040698490716
8.04783092324805,-0.789168056925133,-5.61528012554928
8.06562847608454,-0.795415495524446,-5.40018533114175
8.08342602892102,-0.801737821092205,-5.19451901234352
8.10122358175751,-0.808135385277857,-4.99771498983123
8.11902113459399,-0.814608472480209,-4.80924141082972
8.13681868743048,-0.821157304212359,-4.62859819342002
8.15461624026696,-0.82778204465656,-4.45531490797791
8.17241379310345,-0.834482807477603,-4.28894901983899
8.19021134593993,-0.841259663960763,-4.12908442954946
8.20800889877642,-0.848112652537539,-3.97533025731095
8.2258064516129,-0.855041789758746,-3.82731982677754
8.24360400444939,-0.86204708277059,-3.68470981055773
8.26140155728587,-0.869128543344574,-3.54717950576975
8.27919911012236,-0.876286203506777,-3.41443021300753
8.29699666295884,-0.883520132806179,-3.28618469625139
8.31479421579533,-0.890830457255021,-3.16218670468015
8.33259176863181,-0.898217379967199,-3.04220054016915
8.3503893214683,-0.905681203512459,-2.92601065653399
8.36818687430478,-0.913222353995712,-2.81342127840345
8.38598442714127,-0.92084140686141,-2.70425602905698
8.40378197997775,-0.928539114412985,-2.59835755766963
8.42157953281424,-0.936316435026179,-2.49558715727592
8.43937708565072,-0.944174564024028,-2.3958243654078
8.45717463848721,-0.952114966168333,-2.29896653986362
8.47497219132369,-0.960139409709832,-2.20492840244411
8.49276974416018,-0.968250001924855,-2.11364154382319
8.51056729699666,-0.976449226051919,-2.02505388302629
8.52836484983315,-0.984739979525795,-1.93912907532626
8.54616240266963,-0.99312561339043,-1.85584586275923
8.56395995550612,-1.00160997275494,-1.77519736196984
8.5817575083426,-1.01019743813873,-1.69719028472647
8.59955506117909,-1.01889296753367,-1.62184408725185
8.61735261401557,-1.02770213899103,-1.54919004549499
8.63515016685206,-1.03663119352185,-1.479270254676
8.65294771968854,-1.04568707807823,-1.41213655283478
8.67074527252503,-1.05487748836201,-1.34784936973153
8.68854282536151,-1.06421091118644,-1.28647650426936
8.706340378198,-1.07369666609404,-1.22809183558792
8.72413793103448,-1.08334494591334,-1.17277397510216
8.74193548387097,-1.09316685591429,-1.12060486894638
8.75973303670745,-1.10317445120262,-1.07166836249573
8.77753058954394,-1.11338077197185,-1.026048740765
8.79532814238042,-1.12379987621269,-0.983829260466889
8.81312569521691,-1.13444686946138,-0.945090691235776
8.83092324805339,-1.14533793115253,-0.909909884906681
8.84872080088988,-1.15649033712647,-0.878358392682939
8.86651835372636,-1.16792247783075,-0.850501150464024
8.88431590656285,-1.17965387174616,-0.826395252457971
8.90211345939933,-1.19170517356206,-0.806088832444732
8.91991101223582,-1.20409817662579,-0.789620070666365
8.9377085650723,-1.21685580919352,-0.777016342314505
8.95550611790879,-1.23000212402006,-0.768293521011007
8.97330367074527,-1.24356228083906,-0.763455447614653
8.99110122358176,-1.25756252130627,-0.762493571234299
9.00889877641824,-1.27012629033454,-0.751173872451291
9.02669632925473,-1.28158772133241,-0.727243858127186
9.04449388209121,-1.29390376657296,-0.704156837431831
9.0622914349277,-1.30701291410482,-0.6818960366416
9.08008898776418,-1.32085719501053,-0.660444205116139
9.09788654060067,-1.33538249640659,-0.639783677616922
9.11568409343715,-1.3505388384578,-0.619896433805992
9.13348164627364,-1.36628061584943,-0.600764155012402
9.15127919911012,-1.38256680457867,-0.582368278369995
9.16907675194661,-1.39936113529361,-0.564690048441126
9.18687430478309,-1.41663223472462,-0.547710566447351
9.20467185761958,-1.43435373702061,-0.531410837229731
9.22246941045606,-1.45250436702654,-0.51577181405919
9.24026696329255,-1.47106799772016,-0.50077444141265
9.25806451612903,-1.49003368417195,-0.486399695822649
9.27586206896552,-1.50939567650695,-0.472628624898259
9.293659621802,-1.52915341443441,-0.459442384604163
9.31145717463849,-1.54931150597928,-0.446822274871915
9.32925472747497,-1.56987969310004,-0.434749773604569
9.34705228031146,-1.5908728069183,-0.423206569122794
9.36484983314794,-1.61231071532035,-0.412174591087097
9.38264738598443,-1.63421826572434,-0.401636039918352
9.40044493882091,-1.65662522584397,-0.391573414726858
9.4182424916574,-1.67956622532453,-0.381969539748911
9.43604004449388,-1.70308070118398,-0.372807589280181
9.45383759733037,-1.72721285006439,-0.364071111086347
9.47163515016685,-1.75201159039233,-0.355744048264187
9.48943270300334,-1.77753053766351,-0.347810759520588
9.50723025583982,-1.8038279962124,-0.340256037832339
9.52502780867631,-1.83096697100622,-0.333065127447029
9.54282536151279,-1.85901520321721,-0.326223739183722
9.56062291434928,-1.88804523358795,-0.319718063992537
9.57842046718576,-1.91813449791102,-0.313534784733455
9.59621802002225,-1.94936545930936,-0.307661086137905
9.61401557285873,-1.98182578243324,-0.302084662920585
9.63181312569522,-2.01560855519243,-0.296793726014448
9.6496106785317,-2.05081256423194,-0.291777006908227
9.66740823136819,-2.08754263104885,-0.287023760072926
9.68520578420467,-2.12591001645261,-0.282523763472254
9.70300333704116,-2.1660329020123,-0.278267317160529
9.72080088987764,-2.20803695823573,-0.274245239981116
9.73859844271413,-2.25205601051211,-0.270448864388295
9.75639599555061,-2.29823281536317,-0.266870029425602
9.7741935483871,-2.34671996131889,-0.263501071904001
9.79199110122358,-2.39768091082241,-0.260334815833577
9.80978865406007,-2.45129120202744,-0.257364560172781
9.82758620689655,-2.50773983225336,-0.254584064969235
